race_id,日付,レース,馬名,馬番,枠,騎手,斤量,実着順,着順1,人気1,着順2,人気2,着順3,人気3,着順4,人気4,着順5,人気5,単勝オッズ,人気,オッズ更新日時,source,場1,レース名1,場2,レース名2,場3,レース名3,場4,レース名4,場5,レース名5
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602040420260705/1F,2026-07-05,4,リアルパラダイス,,,,,9.0,10.0,11.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080420260705/70,2026-07-05,4,レオダーム,,,,,16.0,9.0,16.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602040420260705/6A,2026-07-05,4,ロードフリューゲル,,,,,12.0,6.0,4.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080620260705/DA,2026-07-05,6,ルナティックブルー,,,,,6.0,3.0,9.0,5.0,12.0,12.0,18.0,17.0,10.0,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080720260705/8F,2026-07-05,7,ムーンブランシュ,,,,,5.0,2.0,4.0,6.0,5.0,14.0,10.0,1.0,1.0,2.0,9.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602040720260705/89,2026-07-05,7,ルルハート,,,,,12.0,17.0,15.0,7.0,16.0,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602040720260705/3E,2026-07-05,7,ヴンダーバール,,,,,1.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080820260705/44,2026-07-05,8,マジカルシャイン,,,,,7.0,9.0,8.0,16.0,12.0,10.0,6.0,11.0,6.0,4.0,2.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602040820260705/F3,2026-07-05,8,リネンタイリン,,,,,10.0,13.0,15.0,5.0,8.0,12.0,14.0,12.0,13.0,11.0,12.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602040820260705/3E,2026-07-05,8,ワンダフルボンド,,,,,3.0,1.0,1.0,5.0,1.0,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080920260705/F9,2026-07-05,9,リリーフィールド,,,,,13.0,12.0,3.0,6.0,2.0,3.0,3.0,10.0,2.0,9.0,2.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602040920260705/F3,2026-07-05,9,レッドシュテルン,,,,,,10.0,6.0,3.0,7.0,9.0,6.0,13.0,6.0,11.0,3.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602040920260705/A8,2026-07-05,9,ヴェナートル,,,,,12.0,8.0,7.0,4.0,6.0,6.0,5.0,9.0,9.0,7.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601081020260705/EE,2026-07-05,10,リギーロ,,,,,9.0,7.0,4.0,10.0,6.0,3.0,3.0,7.0,9.0,1.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041020260705/E8,2026-07-05,10,ワイノナオミ,,,,,3.0,6.0,12.0,10.0,7.0,7.0,11.0,6.0,7.0,13.0,7.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602041020260705/9D,2026-07-05,10,ワザモノ,,,,,2.0,7.0,13.0,8.0,9.0,2.0,15.0,8.0,10.0,7.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041120260705%2F9D,2026-07-05,11,ランフォーヴァウ,,,,,8.0,1.0,7.0,6.0,9.0,4.0,12.0,15.0,15.0,13.0,18.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041120260705/9D,2026-07-05,11,ランフォーヴァウ,,,,,8.0,1.0,7.0,6.0,9.0,4.0,12.0,15.0,15.0,13.0,18.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602041120260705/52,2026-07-05,11,ロジアデレード,,,,,9.0,3.0,6.0,9.0,5.0,6.0,5.0,3.0,5.0,1.0,4.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601081120260705/A3,2026-07-05,11,ワイドブリザード,,,,,1.0,10.0,4.0,1.0,2.0,4.0,6.0,2.0,7.0,7.0,5.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601081220260705/58,2026-07-05,12,ララバニュルス,,,,,1.0,2.0,1.0,2.0,4.0,10.0,2.0,1.0,2.0,4.0,2.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041220260705/52,2026-07-05,12,ルペイドゥロール,,,,,12.0,1.0,,8.0,12.0,11.0,11.0,14.0,9.0,5.0,9.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602041220260705/07,2026-07-05,12,ヴァイオスペース,,,,,6.0,7.0,6.0,7.0,5.0,1.0,3.0,10.0,10.0,9.0,7.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050120260711/D9,2026-07-11,1,フームスムート,,,,,6.0,5.0,6.0,5.0,7.0,7.0,9.0,,7.0,1.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050120260711/24,2026-07-11,1,ラホーヤアイズ,,,,,3.0,4.0,5.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090120260711/2A,2026-07-11,1,ワイドウィンザー,,,,,3.0,3.0,7.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050220260711/D9,2026-07-11,2,ルパピヨンブラン,,,,,6.0,2.0,5.0,3.0,,2.0,9.0,5.0,4.0,7.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050220260711/8E,2026-07-11,2,ワイルドミュール,,,,,7.0,,,4.0,6.0,10.0,6.0,5.0,4.0,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090220260711/DF,2026-07-11,2,ワンダーアスク,,,,,7.0,3.0,10.0,9.0,5.0,6.0,11.0,4.0,4.0,9.0,6.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050320260711/43,2026-07-11,3,レオンティウス,,,,,1.0,2.0,10.0,,,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090320260711/94,2026-07-11,3,ロンドンプライド,,,,,3.0,9.0,10.0,12.0,8.0,,10.0,9.0,6.0,9.0,12.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050320260711/8E,2026-07-11,3,ワンダースアン,,,,,7.0,7.0,13.0,10.0,13.0,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090420260711/49,2026-07-11,4,メメボス,,,,,8.0,12.0,6.0,7.0,8.0,13.0,12.0,3.0,15.0,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050420260711/F8,2026-07-11,4,ロードプレリュード,,,,,4.0,4.0,10.0,18.0,14.0,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050420260711/43,2026-07-11,4,ワルトシュタイン,,,,,1.0,5.0,7.0,3.0,12.0,13.0,6.0,10.0,8.0,4.0,4.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090620260711/B3,2026-07-11,6,ラヴィレット,,,,,10.0,12.0,8.0,7.0,3.0,13.0,4.0,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050620260711/62,2026-07-11,6,レッドフリーマン,,,,,15.0,4.0,4.0,12.0,6.0,,,,,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050620260711/AD,2026-07-11,6,ヴェネラブル,,,,,8.0,8.0,12.0,10.0,14.0,16.0,9.0,12.0,9.0,,,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090720260711/68,2026-07-11,7,ルージュスティーズ,,,,,6.0,11.0,7.0,16.0,8.0,5.0,5.0,7.0,4.0,3.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050720260711/62,2026-07-11,7,ルートサーティーン,,,,,10.0,4.0,3.0,3.0,7.0,6.0,4.0,16.0,7.0,5.0,4.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050720260711/17,2026-07-11,7,ヴァンデスペランス,,,,,10.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050820260711/CC,2026-07-11,8,ラエトゥス,,,,,6.0,15.0,15.0,11.0,15.0,7.0,9.0,6.0,5.0,6.0,4.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050820260711/17,2026-07-11,8,ラグナトーレ,,,,,8.0,11.0,12.0,8.0,8.0,10.0,5.0,5.0,8.0,7.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090820260711/1D,2026-07-11,8,レイサンソク,,,,,11.0,10.0,7.0,12.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090920260711/D2,2026-07-11,9,モルビド,,,,,6.0,3.0,10.0,7.0,7.0,12.0,11.0,10.0,7.0,1.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050920260711/81,2026-07-11,9,ヴァイザーバルコ,,,,,13.0,6.0,5.0,6.0,10.0,12.0,10.0,7.0,5.0,8.0,6.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602050920260711/CC,2026-07-11,9,ヴェストラン,,,,,11.0,11.0,14.0,7.0,9.0,4.0,8.0,10.0,11.0,9.0,11.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602051020260711/C1,2026-07-11,10,ルージュサウダージ,,,,,14.0,12.0,6.0,15.0,12.0,15.0,6.0,1.0,5.0,4.0,4.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602051020260711/76,2026-07-11,10,ロードマイライフ,,,,,4.0,13.0,12.0,12.0,12.0,14.0,7.0,9.0,12.0,6.0,3.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601091020260711/C7,2026-07-11,10,ヴィヴァクラウン,,,,,7.0,6.0,5.0,3.0,9.0,6.0,9.0,9.0,4.0,1.0,10.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601091120260711/7C,2026-07-11,11,ミッキージュエリー,,,,,10.0,10.0,5.0,14.0,1.0,2.0,1.0,2.0,1.0,16.0,6.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602051120260711/2B,2026-07-11,11,レッドアヴァンティ,,,,,5.0,2.0,11.0,4.0,15.0,16.0,15.0,12.0,12.0,12.0,16.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602051120260711/76,2026-07-11,11,ヴェロクオーレ,,,,,3.0,8.0,4.0,10.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602051220260711/2B,2026-07-11,12,レインオンミー,,,,,5.0,4.0,6.0,16.0,11.0,13.0,11.0,11.0,10.0,13.0,9.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601091220260711/31,2026-07-11,12,ワイドデコラシオン,,,,,2.0,6.0,6.0,9.0,9.0,1.0,,5.0,3.0,3.0,1.0,,,,jra,,,,,,,,,,
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602051220260711/E0,2026-07-11,12,ヴィーデ,,,,,8.0,15.0,12.0,16.0,16.0,14.0,14.0,11.0,6.0,6.0,4.0,,,,jra,,,,,,,,,,
202603020601,2026-07-12,1,アウルムレガリア,4.0,,,,7.0,8.0,11.0,8.0,12.0,12.0,13.0,9.0,16.0,12.0,11.0,207.3,13.0,2026-07-12 10:12:46,jra,,,,,,,,,,
202602011001,2026-07-12,1,アジーザム,8.0,,,,10.0,5.0,10.0,9.0,15.0,8.0,10.0,15.0,12.0,7.0,9.0,179.4,11.0,2026-07-12 09:56:31,jra,,,,,,,,,,
